f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,label
0.0,0.0,0.45467259801049553,-0.26867017155165646,0.8680113234745823,-0.6820088970157433,1.260683112665465,-0.9506790685673997,1.6533549018563474,-1.0643472180700235,0.2893371078248608,-1.4776859435341105,0.36167138478107597,-2.108027499866843,0.3926717891908825,-2.480032352784521,0.42367219360068903,-2.8107033331557907,-0.0723342769562152,-1.4673524753975082,-0.12400161763922606,-2.1493613724132516,-0.15500202204903257,-2.552366629740736,-0.18600242645883908,-2.8933710782486077,-0.37200485291767815,-1.3226839214850779,-0.48567300242030204,-1.9220250734080038,-0.5580072793765173,-2.304363394462284,-0.5993411519229259,-2.6350343748335536,-0.6303415563327325,-1.085014154343228,-0.8060105146549693,-1.519019816080519,-0.8990117278843889,-1.8083569239053798,-0.9816794729772063,-2.0770270954570362,play_pause
0.0,0.0,-0.2781141465525651,-0.5253267212659563,-0.4017204339092607,-1.133057634103043,-0.6901351044082171,-1.5244775440659124,-1.0815550143710866,-1.6377833074762167,0.2987151944453477,-1.575980163797869,0.4635235775876085,-2.3073173639916513,0.5562282931051302,-2.7708409415792596,0.6283319607298693,-3.1416598036493464,0.6180314367834779,-1.4317728285483906,1.0609539664783039,-2.101306885063825,1.3081665411916952,-2.554529938705042,1.5244775440659124,-2.9047477528823467,0.8343424396576953,-1.1639592059422168,1.369969684870043,-1.7098869751009558,1.7098869751009558,-2.06010478927826,1.988001121653521,-2.3485194597772163,0.9579487270143909,-0.824041915711304,1.5038764961731297,-0.9682492509607822,1.8849958821896078,-1.0712544904246952,2.235213696366912,-1.1639592059422168,play_pause
0.0,0.0,0.35855085195588077,-0.27418594561332055,0.6749192507404814,-0.7381929304974015,0.9912876495250821,-1.0545613292820022,1.3287472748953228,-1.1389262356245624,0.06327367975692014,-1.497477087580443,0.08436490634256018,-2.045848978807084,0.08436490634256018,-2.425491057348605,0.08436490634256018,-2.7418594561332057,-0.2952771721989606,-1.476385860994803,-0.4007333051271608,-2.0669402053927244,-0.48509821146972104,-2.425491057348605,-0.5694631178122812,-2.7418594561332057,-0.5905543443979212,-1.3287472748953228,-0.8436490634256018,-1.834936712950684,-1.0123788761107222,-2.1723963383209246,-1.1600174622102024,-2.4887647371055253,-0.8225578368399618,-1.0334701026963622,-1.2443823685527626,-1.3076560483096826,-1.5607507673373633,-1.413112181237883,-1.8138454863650437,-1.5185683141660833,play_pause
0.0,0.0,0.3761445337154538,-0.27165994101671664,0.6895983118116653,-0.7313921488911601,1.0239490084476242,-1.0448459269873716,1.3582997050835832,-1.1493305196861088,0.10448459269873717,-1.4836812163220676,0.10448459269873717,-2.0478980168952483,0.10448459269873717,-2.424042550610702,0.10448459269873717,-2.737496328706914,-0.27165994101671664,-1.4836812163220676,-0.3761445337154538,-2.0687949354349957,-0.4597322078744435,-2.4031456320709546,-0.5224229634936858,-2.737496328706914,-0.5642168005731807,-1.3165058680040882,-0.8149798230501498,-1.838928831497774,-0.9612582528283818,-2.173279528133733,-1.107536682606614,-2.4867333062299446,-0.7940829045104024,-1.0448459269873716,-1.2329181938450986,-1.2956089494643408,-1.5254750534015626,-1.400093542163078,-1.7971349944182793,-1.5254750534015626,play_pause
0.0,0.0,0.42275834120596295,-0.21983433742710073,0.7947856814672103,-0.6087720113365866,1.1499026880802192,-0.8962476833566414,1.5219300283414665,-0.980799351597834,0.32129633931653184,-1.437378360100274,0.42275834120596295,-1.9785090368439067,0.45657900850244,-2.3336260434569156,0.4734893421506785,-2.6380120491252086,-0.050731000944715554,-1.471199027396751,-0.08455166824119259,-2.0630607050850993,-0.11837233553766963,-2.4012673780498694,-0.15219300283414666,-2.705653383718163,-0.3551170066130089,-1.3528266918590814,-0.524220343095394,-1.8770470349544754,-0.6425926786330637,-2.232164041567484,-0.7440546805224948,-2.5365500472357776,-0.6256823449848251,-1.116082020783742,-0.980799351597834,-1.4204680264520355,-1.2513646899696502,-1.538840361989705,-1.471199027396751,-1.6572126975273747,play_pause
0.0,0.0,0.4247362536831935,-0.25169555773818875,0.8180105626491134,-0.692162783780019,1.2112848716150333,-0.9595893138768445,1.6045591805809531,-0.9910512585941181,0.3460813918900095,-1.5101733464291325,0.4561981984004671,-2.06075737898142,0.5191220878350142,-2.4225697432300666,0.5820459772695614,-2.7214582180441655,-0.015730972358636797,-1.5573662635050427,-0.03146194471727359,-2.155143213133241,-0.04719291707591039,-2.532686549740524,-0.06292388943454719,-2.84730599691326,-0.33035041953137273,-1.4315184846359483,-0.4561981984004671,-2.01356446190551,-0.5348530601936511,-2.3753768261541564,-0.5977769496281983,-2.705727245685529,-0.5977769496281983,-1.1798229268977598,-0.928127369159571,-1.5101733464291325,-1.1955538992563965,-1.6674830700155003,-1.4157875122773116,-1.856254738319142,play_pause
0.0,0.0,0.42291289986410663,-0.23965064325632707,0.8176316064039394,-0.6343693497961599,1.1982532162816353,-0.8881170897146239,1.5788748261593313,-0.9304083797010345,0.3242332232291484,-1.49429224618651,0.47930128651265413,-2.0581761126719855,0.5356896731612018,-2.4106035292254075,0.6061751564718861,-2.720739655792419,-0.04229128998641066,-1.5224864395107838,-0.028194193324273774,-2.142758692644807,-0.04229128998641066,-2.509283205860366,-0.05638838664854755,-2.833516429089514,-0.33833031989128526,-1.3956125695515518,-0.4511070931883804,-1.9453993393748903,-0.5497867698233386,-2.2978267559283125,-0.620272253134023,-2.607962882495324,-0.6061751564718861,-1.127767732970951,-0.9022141863767608,-1.4660980528622363,-1.1418648296330878,-1.6352632128078788,-1.353321279565141,-1.8044283727535215,play_pause
0.0,0.0,0.4170871095400205,-0.2527800663878912,0.8088962124412519,-0.6572281726085172,1.1880663120230888,-0.9100082389964084,1.5419584049661363,-0.922647242315803,0.31597508298486404,-1.4787633883691635,0.4550041194982042,-2.0475185377419187,0.5055601327757824,-2.414049634004361,0.5561161460533607,-2.7173857136698305,-0.05055601327757824,-1.5040413950079528,-0.0631950165969728,-2.1233525576582863,-0.08847302323576192,-2.4898836539207285,-0.11375102987455105,-2.8058587369055923,-0.3538920929430477,-1.3776513618140072,-0.4802821261369933,-1.9337675078673677,-0.5561161460533607,-2.2876596008104153,-0.6319501659697281,-2.6036346837952795,-0.6193111626503335,-1.124871295426116,-0.922647242315803,-1.44084637841098,-1.1627883053842996,-1.6051534215631091,-1.3650123584946126,-1.7820994680346331,play_pause
0.0,0.0,0.41424254683600736,-0.25750212370886943,0.8172893491629334,-0.6829404150539581,1.2091404069807783,-0.9516382832719088,1.5674042312713792,-0.9740297722900714,0.279893612727032,-1.4890340197078102,0.41424254683600736,-2.071212734180037,0.47022126938141373,-2.4518680474888,0.5150042474177389,-2.7765446382521572,-0.07837021156356895,-1.5114255087259727,-0.08956595607265024,-2.160778690252687,-0.11195744509081279,-2.5414340035614504,-0.1567404231271379,-2.88850208334297,-0.3918510578178448,-1.3770765746169973,-0.5150042474177389,-1.9592552890892239,-0.6045702034903891,-2.3287148578889063,-0.6941361595630393,-2.6533914486522634,-0.6493531815267142,-1.119574450908128,-0.9852255167991526,-1.444251041671485,-1.2651191295261845,-1.6121872093077043,-1.5002297642168914,-1.7801233769439235,play_pause
0.0,0.0,0.4261595049075484,-0.22867095385283084,0.8315307412830212,-0.6340421902283037,1.2161137091264185,-0.8731072783471723,1.5695142741717025,-0.9042896811452856,0.3326122965132085,-1.4551787972452872,0.4781301762377372,-2.037250316143402,0.5404949818339638,-2.4010450154547236,0.5924656531641527,-2.7232631777018947,-0.02078826853207553,-1.4967553343094382,-0.031182402798113296,-2.1515857930698172,-0.06236480559622659,-2.525774626647177,-0.09354720839433989,-2.8687810574264234,-0.3326122965132085,-1.3616315888509474,-0.4573419077056617,-1.943703107749062,-0.5508891161000016,-2.307497807060384,-0.6340421902283037,-2.65050423783963,-0.6028597874301904,-1.1017782322000031,-0.9458662182094366,-1.4239963944471739,-1.2161137091264185,-1.5799084084377404,-1.4551787972452872,-1.76700282522642,play_pause
